type,id,lang,english,gold_verdict,pred_verdict,confidence,n_runs_flagged,gold_fields,pred_fields
false_accept,u-dropped_category-10,hinglish,"Mujhe roz rent, groceries ya hotels ke liye 5 hazaar rupaye tak kharch karne do kisi bhi store pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-widened_time_window-83,hinglish,"Mujhe ek baar mein online shopping ke liye ₹2,800 tak kharch karne do sirf Amazon ya Myntra pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,time_window,
false_accept,u-dropped_category-57,hinglish,"Mujhe hafte ka electricity bill, pharmacy aur streaming ke liye 3000 rs tak kharch karne do kahin bhi, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-overpermissive_merchants-24,hinglish,"Weekly streaming ka ₹13500 tak ka limit rakho Netflix pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,merchants,
false_accept,u-widened_time_window-3,hinglish,"₹5,000 tak travel ke liye har hafte approve karo kahin bhi, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,time_window,
false_accept,u-dropped_category-83,hinglish,"Har hafte pharmacy ya entertainment ka ₹25500 tak ka limit rakho sirf Apollo aur MedPlus pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-widened_time_window-64,hinglish,"Mujhe ek baar mein food delivery ke liye $1500 tak kharch karne do Swiggy aur Zomato pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,time_window,
false_accept,u-dropped_category-22,hinglish,"Education aur ride hailing pe monthly 19000 dollar tak allow karo Byjus pe, 24 ghante.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-dropped_category-52,hinglish,"1900 dollar tak streaming ya education ke liye ek baar mein approve karo JioCinema aur Netflix pe, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-dropped_category-63,hinglish,"Mujhe din ka education aur food delivery ke liye 5000 dollar tak kharch karne do sirf Byjus pe, 24 ghante.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-widened_time_window-80,hinglish,"Mujhe ek baar mein travel ke liye 3000 rupaye tak kharch karne do Cleartrip ya IRCTC pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,time_window,
false_accept,u-overpermissive_merchants-32,hinglish,"Mujhe hafte ka ride hailing, pharmacy ya entertainment ke liye ₹22000 tak kharch karne do bas Rapido aur Uber pe, kabhi bhi.",NOT_FAITHFUL,FAITHFUL,0.999,0,merchants,
false_accept,u-overpermissive_merchants-118,hinglish,"Ride hailing pe ek baar mein ₹3,000 tak allow karo Rapido aur Uber pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,merchants,
false_accept,u-dropped_category-60,hinglish,"Pharmacy ya travel pe mahine ka ₹43,000 tak allow karo sirf Netmeds ya PharmEasy pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-dropped_category-7,hinglish,"Mujhe har hafte entertainment, ride hailing ya pharmacy ke liye 25500 dollar tak kharch karne do bas BookMyShow pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-wrong_period-9,hinglish,"Mujhe har mahine mobile recharge ya food delivery ke liye ₹75500 tak kharch karne do bas Airtel aur Vi pe, 24 ghante.",NOT_FAITHFUL,FAITHFUL,0.999,0,period,
false_accept,u-overpermissive_merchants-57,hinglish,"Mujhe mahine ka online shopping aur ride hailing ke liye 60500 dollar tak kharch karne do bas Amazon pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,merchants,
false_accept,u-widened_time_window-40,hinglish,"Ek baar mein ride hailing ka 4100 rupaye tak ka limit rakho bas Rapido ya Uber pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,time_window,
false_accept,u-narrowed_time_window-60,hinglish,"Education aur entertainment pe hafte ka ₹23,500 tak allow karo sirf Byjus aur Unacademy pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,time_window,
false_accept,u-widened_time_window-25,hinglish,"$1400 tak electricity bill, utilities ya dining ke liye daily approve karo kisi bhi merchant pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,time_window,
false_accept,u-dropped_category-101,hinglish,"Utilities ya metro pe ek transaction mein 1400 rs tak allow karo, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-dropped_category-119,hinglish,"Education aur ride hailing pe monthly 19000 dollar tak allow karo Byjus pe, 24 ghante.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-dropped_category-86,hinglish,"Daily dining ya hotels ka ₹900 tak ka limit rakho kahin bhi, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-dropped_category-79,hinglish,"Monthly food delivery ya pharmacy ka 22 hazaar tak ka limit rakho Swiggy pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-wrong_period-106,hinglish,"Mujhe har mahine mobile recharge ya food delivery ke liye ₹75500 tak kharch karne do bas Airtel aur Vi pe, 24 ghante.",NOT_FAITHFUL,FAITHFUL,0.999,0,period,
false_accept,u-wrong_period-74,hinglish,"₹1,100 tak ride hailing, online shopping ya food delivery ke liye din ka approve karo sirf Rapido pe din bhar.",NOT_FAITHFUL,FAITHFUL,0.999,0,period,
false_accept,u-overpermissive_merchants-4,hinglish,"Mobile recharge pe har din ₹4,700 tak allow karo Airtel ya Vi pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,merchants,
false_accept,u-widened_time_window-114,hinglish,"Ek baar mein hotels ka 2200 rs tak ka limit rakho kisi bhi store pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,time_window,
false_accept,u-overpermissive_merchants-53,hinglish,"Ride hailing, mobile recharge aur metro pe hafte ka ₹7,500 tak allow karo sirf Ola ya Rapido pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,merchants,
false_accept,u-overpermissive_merchants-63,hinglish,"Mujhe mahine ka metro ya pharmacy ke liye ₹15500 tak kharch karne do DMRC pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,merchants,
false_accept,u-dropped_category-4,hinglish,"Streaming aur entertainment pe har hafte ₹18500 tak allow karo bas Hotstar aur JioCinema pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-overpermissive_merchants-25,hinglish,"Roz mobile recharge ka ₹4,100 tak ka limit rakho Jio pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,merchants,
false_accept,u-wrong_period-63,hinglish,"Ek baar mein mobile recharge ya ride hailing ka ₹2,200 tak ka limit rakho bas Jio ya Vi pe, 24 ghante.",NOT_FAITHFUL,FAITHFUL,0.999,0,period,
false_accept,u-dropped_category-41,hinglish,"Ek baar mein electricity bill, education ya fuel ka 2300 rs tak ka limit rakho kisi bhi store pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-widened_time_window-79,hinglish,"Ek baar mein pharmacy ka 1000 rs tak ka limit rakho, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,time_window,
false_accept,u-dropped_category-53,hinglish,"₹24000 tak education aur gold ke liye hafte ka approve karo kahin bhi, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-narrowed_time_window-15,hinglish,"9500 dollar tak dining, gold aur education ke liye din ka approve karo kisi bhi store pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,time_window,
false_accept,u-dropped_category-99,hinglish,"Rent ya groceries pe monthly ₹24,000 tak allow karo, kabhi bhi.",NOT_FAITHFUL,FAITHFUL,0.999,0,categories,
false_accept,u-overpermissive_merchants-110,hinglish,"Mujhe ek transaction mein pharmacy ke liye 2500 rs tak kharch karne do Netmeds pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,merchants,
false_accept,u-widened_time_window-49,hinglish,"600 rs tak groceries ke liye roz approve karo kisi bhi merchant pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,time_window,
false_accept,u-overpermissive_merchants-101,hinglish,"₹1100 tak hotels ke liye har din approve karo OYO aur Taj pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,merchants,
false_accept,u-widened_time_window-44,hinglish,"₹4,800 tak gold ke liye ek transaction mein approve karo CaratLane aur Tanishq pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,time_window,
false_accept,u-wrong_period-46,hinglish,"₹27,000 tak entertainment ke liye hafte ka approve karo BookMyShow aur INOX pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.999,0,period,
