type,id,lang,english,gold_verdict,pred_verdict,confidence,n_runs_flagged,gold_fields,pred_fields
false_accept,u-widened_time_window-53,hinglish,"₹25500 tak streaming ke liye har mahine approve karo sirf Hotstar aur Netflix pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,time_window,
false_accept,u-widened_time_window-86,hinglish,"Har din online shopping ka ₹8,500 tak ka limit rakho sirf Amazon ya Flipkart pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,time_window,
false_accept,u-narrowed_time_window-2,hinglish,"4800 rs tak education ke liye daily approve karo sirf Byjus ya Unacademy pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,time_window,
false_accept,u-combined-78,hinglish,"Har mahine rent, utilities ya fuel ka 62500 rs tak ka limit rakho, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.99,0,time_window,
false_accept,u-combined-84,hinglish,"Mujhe daily groceries ke liye ₹4600 tak kharch karne do Blinkit aur Zepto pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.963,0,merchants,
false_accept,u-widened_time_window-116,hinglish,"Ek transaction mein pharmacy aur online shopping ka 2300 rupaye tak ka limit rakho bas MedPlus ya PharmEasy pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.963,0,time_window,
false_accept,u-narrowed_time_window-51,hinglish,"6600 rupaye tak entertainment aur online shopping ke liye har din approve karo kisi bhi merchant pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.963,0,time_window,
false_accept,u-widened_time_window-73,hinglish,"Streaming pe har transaction pe ₹1,000 tak allow karo sirf Hotstar aur Netflix pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.963,0,time_window,
false_accept,u-widened_time_window-110,hinglish,"₹85,500 tak hotels ke liye monthly approve karo sirf Taj pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-wrong_period-53,hinglish,"1800 rupaye tak groceries ke liye ek baar mein approve karo bas Blinkit ya Zepto pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,period,
false_accept,u-widened_time_window-111,hinglish,"Roz utilities ka ₹2700 tak ka limit rakho kisi bhi store pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-dropped_category-10,hinglish,"Mujhe roz rent, groceries ya hotels ke liye 5 hazaar rupaye tak kharch karne do kisi bhi store pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-dropped_category-33,hinglish,"₹3,500 tak ride hailing aur dining ke liye ek transaction mein approve karo kahin bhi, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-widened_time_window-83,hinglish,"Mujhe ek baar mein online shopping ke liye ₹2,800 tak kharch karne do sirf Amazon ya Myntra pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-dropped_merchant-60,hinglish,"3600 rs tak pharmacy ke liye har din approve karo bas MedPlus ya PharmEasy pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,merchants,
false_accept,u-widened_time_window-74,hinglish,"Din ka hotels aur travel ka ₹6100 tak ka limit rakho sirf Taj pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-wrong_amount-94,hinglish,"8 hazaar tak dining ke liye har din approve karo, subah 10 baje se raat 8 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,max_amount,
false_accept,u-dropped_category-16,hinglish,"4300 rupaye tak food delivery aur fuel ke liye roz approve karo Swiggy ya Zomato pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-widened_time_window-104,hinglish,"Mobile recharge aur education pe weekly $23500 tak allow karo sirf Airtel ya Jio pe, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-overpermissive_merchants-24,hinglish,"Weekly streaming ka ₹13500 tak ka limit rakho Netflix pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,merchants,
false_accept,u-widened_time_window-65,hinglish,"₹7,500 tak ride hailing ke liye har mahine approve karo kahin bhi, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-dropped_merchant-19,hinglish,"Din ka travel ka 8800 rupaye tak ka limit rakho sirf Cleartrip ya Goibibo pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,merchants,
false_accept,u-widened_time_window-92,hinglish,"Metro pe har mahine 18000 rupaye tak allow karo kisi bhi merchant pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-dropped_merchant-26,hinglish,"4200 rupaye tak travel ke liye din ka approve karo sirf Goibibo ya IRCTC pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,merchants,
false_accept,u-narrowed_time_window-20,hinglish,"Mujhe mahine ka food delivery ke liye $18500 tak kharch karne do, subah 10 baje se raat 8 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-narrowed_time_window-78,hinglish,"Din ka online shopping ka ₹600 tak ka limit rakho Amazon pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-widened_time_window-3,hinglish,"₹5,000 tak travel ke liye har hafte approve karo kahin bhi, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-narrowed_time_window-101,hinglish,"Mujhe monthly streaming ya dining ke liye ₹90500 tak kharch karne do kahin bhi, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-widened_time_window-115,hinglish,"Mujhe monthly online shopping, gold ya entertainment ke liye 5500 rs tak kharch karne do kahin bhi, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-dropped_category-83,hinglish,"Har hafte pharmacy ya entertainment ka ₹25500 tak ka limit rakho sirf Apollo aur MedPlus pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-dropped_category-21,hinglish,"Mujhe hafte ka hotels ya food delivery ke liye ₹18500 tak kharch karne do kisi bhi merchant pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-swapped_currency-62,hinglish,"86 hazaar tak travel, metro aur entertainment ke liye mahine ka approve karo kisi bhi merchant pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,currency,
false_accept,u-widened_time_window-27,hinglish,"Mujhe har din utilities aur online shopping ke liye ₹3800 tak kharch karne do kisi bhi store pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-widened_time_window-99,hinglish,"Mujhe ek baar mein streaming ke liye $2400 tak kharch karne do kisi bhi store pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-narrowed_time_window-38,hinglish,"₹2100 tak mobile recharge ke liye har transaction pe approve karo kahin bhi, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-widened_time_window-51,hinglish,"Fuel pe har transaction pe ₹4,000 tak allow karo kahin bhi, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-narrowed_time_window-40,hinglish,"Daily entertainment ka ₹8,000 tak ka limit rakho bas INOX pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-dropped_category-85,hinglish,"Travel ya hotels pe har din ₹8,900 tak allow karo sirf Goibibo pe, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-widened_time_window-18,hinglish,"Mujhe monthly online shopping, gold ya entertainment ke liye 5500 rs tak kharch karne do kahin bhi, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-widened_time_window-30,hinglish,"Mobile recharge pe monthly 22500 rupaye tak allow karo kahin bhi, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-widened_time_window-64,hinglish,"Mujhe ek baar mein food delivery ke liye $1500 tak kharch karne do Swiggy aur Zomato pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-widened_time_window-89,hinglish,"Metro, pharmacy aur online shopping pe din ka $6300 tak allow karo sirf Namma Metro pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-dropped_category-22,hinglish,"Education aur ride hailing pe monthly 19000 dollar tak allow karo Byjus pe, 24 ghante.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-narrowed_time_window-49,hinglish,"Electricity bill pe weekly 15000 rs tak allow karo, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-dropped_category-52,hinglish,"1900 dollar tak streaming ya education ke liye ek baar mein approve karo JioCinema aur Netflix pe, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-wrong_period-58,hinglish,"₹2800 tak electricity bill ke liye har transaction pe approve karo kisi bhi merchant pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,period,
false_accept,u-wrong_period-108,hinglish,"Pharmacy pe mahine ka ₹36,000 tak allow karo kahin bhi, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,period,
false_accept,u-dropped_category-103,hinglish,"Mujhe weekly hotels ya travel ke liye $21500 tak kharch karne do bas Marriott pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-widened_time_window-80,hinglish,"Mujhe ek baar mein travel ke liye 3000 rupaye tak kharch karne do Cleartrip ya IRCTC pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-widened_time_window-6,hinglish,"3500 rupaye tak utilities, pharmacy ya hotels ke liye har hafte approve karo, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-overpermissive_merchants-41,hinglish,"₹8500 tak hotels ke liye monthly approve karo OYO ya Treebo pe, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,merchants,
false_accept,u-widened_time_window-84,hinglish,"Metro pe monthly $17500 tak allow karo sirf DMRC aur Namma Metro pe, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-overpermissive_merchants-89,hinglish,"Groceries pe har transaction pe 1700 rs tak allow karo Blinkit ya DMart pe, subah 10 baje se raat 8 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,merchants,
false_accept,u-dropped_category-29,hinglish,"7000 dollar tak pharmacy ya food delivery ke liye daily approve karo kisi bhi merchant pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-narrowed_time_window-116,hinglish,"Mujhe weekly groceries ke liye 13500 rupaye tak kharch karne do sirf BigBasket pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-widened_time_window-56,hinglish,"26500 rs tak travel ke liye har hafte approve karo kahin bhi, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-overpermissive_merchants-32,hinglish,"Mujhe hafte ka ride hailing, pharmacy ya entertainment ke liye ₹22000 tak kharch karne do bas Rapido aur Uber pe, kabhi bhi.",NOT_FAITHFUL,FAITHFUL,0.95,0,merchants,
false_accept,u-dropped_category-81,hinglish,"Din ka mobile recharge aur utilities ka ₹6400 tak ka limit rakho, subah 10 baje se raat 8 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-widened_time_window-10,hinglish,"Mujhe har transaction pe groceries ke liye ₹4700 tak kharch karne do sirf Reliance Fresh ya Zepto pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-dropped_merchant-52,hinglish,"₹2200 tak mobile recharge ke liye har din approve karo bas Airtel ya Jio pe, subah 10 baje se raat 8 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,merchants,
false_accept,u-overpermissive_merchants-118,hinglish,"Ride hailing pe ek baar mein ₹3,000 tak allow karo Rapido aur Uber pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,merchants,
false_accept,u-dropped_category-8,hinglish,"Mahine ka hotels aur mobile recharge ka 75000 rupaye tak ka limit rakho sirf OYO aur Taj pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-narrowed_time_window-9,hinglish,"$8600 tak fuel aur rent ke liye daily approve karo kahin bhi, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-overpermissive_merchants-93,hinglish,"4200 rupaye tak fuel aur gold ke liye roz approve karo HPCL ya Shell pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,merchants,
false_accept,u-dropped_category-60,hinglish,"Pharmacy ya travel pe mahine ka ₹43,000 tak allow karo sirf Netmeds ya PharmEasy pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-dropped_category-72,hinglish,"Har din fuel aur metro ka 6700 dollar tak ka limit rakho kahin bhi, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-dropped_category-115,hinglish,"4600 dollar tak metro aur entertainment ke liye har transaction pe approve karo sirf DMRC pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-overpermissive_merchants-34,hinglish,"Groceries pe har hafte 8 hazaar rupaye tak allow karo Blinkit aur Zepto pe, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,merchants,
false_accept,u-wrong_period-113,hinglish,"Mujhe ek transaction mein entertainment ya groceries ke liye $3900 tak kharch karne do, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,period,
false_accept,u-widened_time_window-9,hinglish,"4000 rupaye tak dining aur ride hailing ke liye roz approve karo kahin bhi, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-wrong_amount-73,hinglish,"Har transaction pe rent, utilities aur food delivery ka 500 rupaye tak ka limit rakho kisi bhi store pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,max_amount,
false_accept,u-dropped_category-80,hinglish,"₹9,100 tak groceries ya education ke liye din ka approve karo BigBasket ya Zepto pe, subah 10 baje se raat 8 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-swapped_currency-54,hinglish,"Ride hailing pe weekly 22 hazaar tak allow karo kahin bhi, subah 7 baje se dopahar 12 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,currency,
false_accept,u-narrowed_time_window-52,hinglish,"Mujhe hafte ka food delivery ke liye 5000 rupaye tak kharch karne do sirf Swiggy pe, subah 6 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-narrowed_time_window-3,hinglish,"Ek transaction mein streaming ya electricity bill ka 1 hazaar rupaye tak ka limit rakho kisi bhi merchant pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-narrowed_time_window-35,hinglish,"Mujhe har transaction pe streaming ke liye ₹1900 tak kharch karne do kahin bhi, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-dropped_category-42,hinglish,"Dining aur metro pe daily 1600 rs tak allow karo, subah 10 baje se raat 8 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
false_accept,u-narrowed_time_window-62,hinglish,"Roz metro ya groceries ka $8700 tak ka limit rakho DMRC ya Namma Metro pe, subah 6 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-narrowed_time_window-41,hinglish,"Mujhe mahine ka hotels ke liye ₹49,500 tak kharch karne do bas Marriott aur Taj pe, subah 10 baje se raat 8 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-overpermissive_merchants-77,hinglish,"5000 rupaye tak mobile recharge ke liye hafte ka approve karo Jio ya Vi pe, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,merchants,
false_accept,u-widened_time_window-67,hinglish,"3800 rs tak food delivery ke liye ek transaction mein approve karo bas Swiggy ya Zomato pe, subah 6 baje se raat 10 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,time_window,
false_accept,u-dropped_category-94,hinglish,"Har transaction pe hotels aur rent ka 3300 rupaye tak ka limit rakho sirf Treebo pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.95,0,categories,
