type,id,lang,english,gold_verdict,pred_verdict,confidence,n_runs_flagged,gold_fields,pred_fields
false_accept,u-widened_time_window-83,hinglish,"Mujhe ek baar mein online shopping ke liye ₹2,800 tak kharch karne do sirf Amazon ya Myntra pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,time_window,
false_accept,u-widened_time_window-3,hinglish,"₹5,000 tak travel ke liye har hafte approve karo kahin bhi, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,time_window,
false_accept,u-widened_time_window-51,hinglish,"Fuel pe har transaction pe ₹4,000 tak allow karo kahin bhi, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,time_window,
false_accept,u-dropped_category-85,hinglish,"Travel ya hotels pe har din ₹8,900 tak allow karo sirf Goibibo pe, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,categories,
false_accept,u-widened_time_window-64,hinglish,"Mujhe ek baar mein food delivery ke liye $1500 tak kharch karne do Swiggy aur Zomato pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,time_window,
false_accept,u-narrowed_time_window-49,hinglish,"Electricity bill pe weekly 15000 rs tak allow karo, subah 8 baje se raat 9 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,time_window,
false_accept,u-dropped_category-103,hinglish,"Mujhe weekly hotels ya travel ke liye $21500 tak kharch karne do bas Marriott pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,categories,
false_accept,u-widened_time_window-6,hinglish,"3500 rupaye tak utilities, pharmacy ya hotels ke liye har hafte approve karo, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,time_window,
false_accept,u-widened_time_window-84,hinglish,"Metro pe monthly $17500 tak allow karo sirf DMRC aur Namma Metro pe, subah 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,time_window,
false_accept,u-overpermissive_merchants-118,hinglish,"Ride hailing pe ek baar mein ₹3,000 tak allow karo Rapido aur Uber pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,merchants,
false_accept,u-overpermissive_merchants-44,hinglish,"Daily streaming aur food delivery ka 2100 rs tak ka limit rakho JioCinema pe, subah 10 baje se raat 8 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,merchants,
false_accept,u-dropped_category-1,hinglish,"Monthly travel ya hotels ka ₹35000 tak ka limit rakho Goibibo ya MakeMyTrip pe, subah 10 baje se raat 8 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,categories,
false_accept,u-narrowed_time_window-39,hinglish,"Metro pe daily ₹1,600 tak allow karo sirf Namma Metro pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,time_window,
false_accept,u-narrowed_time_window-17,hinglish,"₹4500 tak metro, mobile recharge aur pharmacy ke liye har transaction pe approve karo kisi bhi merchant pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,time_window,
false_accept,u-dropped_category-101,hinglish,"Utilities ya metro pe ek transaction mein 1400 rs tak allow karo, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,categories,
false_accept,u-narrowed_time_window-31,hinglish,"16000 rupaye tak education ya entertainment ke liye weekly approve karo bas Byjus ya Unacademy pe, shaam 5 baje se raat 11 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,time_window,
false_accept,u-dropped_category-55,hinglish,"Streaming ya metro pe roz $7600 tak allow karo sirf JioCinema aur Netflix pe, subah 9 baje se shaam 6 baje tak.",NOT_FAITHFUL,FAITHFUL,0.98,0,categories,
